IMAGE\LABEL	airplane	bare-soil	buildings	cars	chaparral	court	dock	field	grass	mobile-home	pavement	sand	sea	ship	tanks	trees	water
buildings00	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings01	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings02	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings03	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings04	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings05	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings06	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings07	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings08	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings09	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings10	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings11	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings12	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings13	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings14	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings17	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings18	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
buildings23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buildings24	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings25	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings26	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings27	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings28	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
buildings29	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
buildings30	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
chaparral00	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral01	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral02	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral03	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral04	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral05	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral06	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral07	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral08	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral09	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral10	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral11	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral12	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral14	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral15	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral16	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral17	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral18	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral19	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral20	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral21	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral22	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral23	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral24	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral25	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral26	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral27	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral28	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral29	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chaparral30	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
denseresidential00	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential01	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
denseresidential02	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential03	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential04	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential05	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
denseresidential06	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
denseresidential07	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
denseresidential08	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential09	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential10	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential11	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential12	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential13	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential14	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential15	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
denseresidential16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
denseresidential17	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential18	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
denseresidential20	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential21	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
denseresidential22	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
denseresidential23	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential24	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
denseresidential25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
denseresidential26	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
denseresidential27	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential28	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential29	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
denseresidential30	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
forest00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest08	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
forest09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
forest30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
freeway00	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway01	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway02	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway03	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway04	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway05	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway06	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway07	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway08	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway09	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway10	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway11	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
freeway12	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway13	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway14	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway15	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway16	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway17	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway18	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway19	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway20	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway21	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway22	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway23	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway24	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
freeway25	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
freeway26	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway27	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway28	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway29	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
freeway30	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
golfcourse00	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
golfcourse01	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
golfcourse02	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse03	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse04	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse05	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse06	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse07	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
golfcourse08	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
golfcourse09	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse10	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
golfcourse12	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse13	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
golfcourse14	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
golfcourse15	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse16	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse17	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
golfcourse18	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
golfcourse19	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse20	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse21	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
golfcourse22	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse23	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse24	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse25	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0
golfcourse26	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
golfcourse27	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
golfcourse28	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
golfcourse29	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
golfcourse30	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
harbor00	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor01	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor02	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor03	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor04	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor05	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor06	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor07	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor08	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor09	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor10	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor11	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor12	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor13	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor14	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor15	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor16	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor17	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor18	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor19	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor20	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor21	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor22	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor23	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor24	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor25	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor26	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor27	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor28	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor29	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
harbor30	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
intersection00	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
intersection01	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
intersection02	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
intersection03	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
intersection04	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
intersection05	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
intersection06	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
